Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot69,"Slayer-of-Reshala",hard,7,Failed,"Medical Block Elevator Power Switch","Medical Block Elevator Power Switch: Objective #1","1","19:44:56","19:46:39",
Bot70,"Gizzy",easy,10,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #2","1","19:44:56","19:46:03",
Bot72,"Lethargic Revingly",impossible,14,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","19:44:56","19:45:35",
Bot71,"JP21",easy,7,Failed,"Containment Block Bedroom","Containment Block Bedroom: Objective #1","3","19:44:57","19:46:51",
Bot71,"JP21",easy,7,Failed,"Find the Source","Zone Halloween_closed_places","1","19:46:56","19:46:58",
Bot71,"JP21",easy,7,Failed,"Find the Source","Item V.O. signed diary","1","19:47:03","19:47:05",
Bot71,"JP21",easy,7,Failed,"Containment Block Entrance Camping","Containment Block Entrance Camping: Objective #2","2","19:47:11","19:55:34",
Bot74,"RyuAzuku",easy,8,Failed,"Conference Room","Conference Room: Objective #4","1","19:44:57","19:49:39",
Bot73,"Ilhsiek",normal,17,Failed,"Boss Hunter (pmcBot)","Spawn Point (-257.96 0.01 -385.45)","1","19:44:57","19:49:05",
Bot75,"jennacide",normal,15,Failed,"Red Room","Red Room: Objective #1","1","19:44:57","19:46:45",
