Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot154,"RootsNine",normal,16,Active,"Pharmacist","Zone vaz_feld","1","20:39:48","N/A",
Bot155,"Cooler daniel",normal,3,Active,"Rite of Passage","Zone Killoldoil","1","20:39:48","N/A",
Bot157,"Jester_Stacks",normal,13,Pending,"Chemical - Part 1","Item Secure Folder 0013","1","20:39:49","N/A",
Bot158,"JustNU",normal,14,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","20:39:49","20:40:12",
Bot160,"Virtual",normal,18,Failed,"Checkpoint","Checkpoint: Objective #2","1","20:39:49","20:40:07",
Bot161,"Agnotology",normal,19,Failed,"Break the Deal","Zone Sniper_1","1","20:39:50","20:40:05",
Bot166,"Spring",normal,19,Active,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","20:40:11","N/A",
Bot167,"Life",normal,6,Pending,"Hide in Plain Sight","Zone new_year_2024_market_customs","1","20:40:11","N/A",
Bot170,"Amands2Mello",normal,16,Failed,"Hide in Plain Sight","Zone new_year_2024_market_customs","1","20:40:16","20:40:31",
[Not Spawned],"Арчи Клоун",easy,1,,,,,,,
[Not Spawned],"Гурам Бидон",normal,1,,,,,,,
[Not Spawned],"Ивасик Москва",normal,1,,,,,,,
[Not Spawned],"Лаша Алмазный",easy,1,,,,,,,
[Not Spawned],"Джонатан Бокс",easy,1,,,,,,,
[Not Spawned],"Семён Полторашка",easy,1,,,,,,,
[Not Spawned],"Степан Щачло",normal,1,,,,,,,
[Not Spawned],"Дамирка Пичот",normal,1,,,,,,,
[Not Spawned],"Генка Снайлер",hard,1,,,,,,,
[Not Spawned],"Никанор Сухогруз",hard,1,,,,,,,
[Not Spawned],"Яков Ненаркоторговец",normal,1,,,,,,,
[Not Spawned],"Ярослав Глыба",normal,1,,,,,,,
[Not Spawned],"Веня Колпак",normal,1,,,,,,,
[Not Spawned],"Стасик Шкаф",normal,1,,,,,,,
[Not Spawned],"Борька МЧС",normal,1,,,,,,,
[Not Spawned],"Гога Бывалый",easy,1,,,,,,,
[Not Spawned],"Сева Инструктор",easy,1,,,,,,,
[Not Spawned],"Армен Гаджет",easy,1,,,,,,,
