Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Fatheals",normal,22,Failed,"Blue Room","Blue Room: Objective #1","1","19:42:47","19:43:01",
Bot40,"Fatheals",normal,22,Failed,"Blue Room","Blue Room: Objective #2","1","19:43:06","19:44:08",
Bot40,"Fatheals",normal,22,Failed,"Beneath The Streets","Zone Transits_streets","1","19:44:13","19:45:27",
Bot41,"Mauzy-Mir",easy,14,Active,"Spawn Rush","Spawn Rush: Objective #1","1","19:42:47","N/A",
Bot39,"Snofielf",hard,17,Failed,"Boss Hunter (pmcBot)","Spawn Point (-199.41 4.13 -296.50)","1","19:42:47","19:46:12",
Bot42,"TheRedCap",hard,20,Failed,"Boss Hunter (pmcBot)","Spawn Point (-213.12 0.05 -378.76)","1","19:42:47","19:44:20",
Bot43,"Borkel",easy,16,Failed,"Beneath The Streets","Zone Control_room","1","19:42:48","19:43:01",
Bot45,"Big Chungus",hard,14,Failed,"Admin Office","Admin Office: Objective #3","1","19:42:48","19:43:16",
Bot44,"Bulld0z3r",easy,8,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","19:42:48","19:43:00",
Bot46,"MrSarkasm",hard,21,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #2","1","19:42:49","19:46:22",
