Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot58,"notGreg",hard,15,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:08:46","22:09:26",
Bot54,"FlashMode",normal,16,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:08:46","N/A",
Bot55,"InternalError_",normal,14,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:08:46","N/A",
Bot57,"ThinkSlow",normal,16,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:08:46","22:11:13",
Bot56,"Logical Solutions",normal,14,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:08:46","N/A",
Bot53,"loafedbread",normal,15,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:08:46","22:08:50",
Bot53,"loafedbread",normal,15,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","22:08:55","N/A",
Bot62,"Sarix",normal,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:09:36","22:11:33",
Bot63,"MedDeatH",normal,17,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:09:36","N/A",
[Not Spawned],"Миша Бригадир",easy,1,,,,,,,
[Not Spawned],"Севастьян Дырявый",easy,1,,,,,,,
[Not Spawned],"Веня Сумрак",normal,1,,,,,,,
[Not Spawned],"Александр Шайтан",normal,1,,,,,,,
[Not Spawned],"Паша Сырный",normal,1,,,,,,,
[Not Spawned],"Русик Киба",easy,1,,,,,,,
[Not Spawned],"Вовчик Гусар",normal,1,,,,,,,
[Not Spawned],"Борис Собакин",easy,1,,,,,,,
[Not Spawned],"Феоктист Комитов",hard,1,,,,,,,
[Not Spawned],"Матвей Микрофон",easy,1,,,,,,,
[Not Spawned],"Кирюха Липкий",easy,1,,,,,,,
[Not Spawned],"Андрюха Говорун",hard,1,,,,,,,
[Not Spawned],"Петр Костолом",normal,1,,,,,,,
[Not Spawned],"Трофим Вортекс",normal,1,,,,,,,
[Not Spawned],"Пися Майонез",normal,1,,,,,,,
