Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot31,"Kronzky",easy,6,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:04:22","N/A",
Bot36,"kova",normal,14,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:04:22","22:04:27",
Bot36,"kova",normal,14,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","22:04:32","N/A",
Bot32,"Conqueror_Alex",easy,18,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:04:22","N/A",
Bot37,"TakiiNotFound",normal,14,Active,"Underground South","Underground South: Objective #4","1","22:04:22","N/A",
Bot33,"Big Chungus",normal,15,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","22:04:23","N/A",
Bot34,"openingspark860",easy,16,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","22:04:23","22:04:23",
Bot34,"openingspark860",easy,16,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","22:04:28","22:06:00",
Bot35,"aburiu",normal,12,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:04:23","N/A",
Bot41,"KokaZ93",impossible,14,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:06:01","N/A",
[Not Spawned],"Санька Госдеп",easy,1,,,,,,,
[Not Spawned],"Аристарх Тормоз",normal,1,,,,,,,
[Not Spawned],"Никита Воробей",normal,1,,,,,,,
[Not Spawned],"Пантелеймон Тамада",easy,1,,,,,,,
[Not Spawned],"Веня Щекотун",easy,1,,,,,,,
[Not Spawned],"Сеня Бугурт",easy,1,,,,,,,
[Not Spawned],"Петр Сухогруз",normal,1,,,,,,,
[Not Spawned],"Петр Суходрищев",normal,1,,,,,,,
[Not Spawned],"Сава Аниматор",normal,1,,,,,,,
[Not Spawned],"Таир Сметана",normal,1,,,,,,,
[Not Spawned],"Ростя Волчара",normal,1,,,,,,,
[Not Spawned],"Толя Кольщик",normal,1,,,,,,,
[Not Spawned],"Олег Бубеш",normal,1,,,,,,,
[Not Spawned],"Пахомий Костолом",normal,1,,,,,,,
[Not Spawned],"Никита Шаман",hard,1,,,,,,,
