Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot78,"AcidPhantasm",normal,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:20:17","22:30:57",
Bot75,"5o2",easy,10,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","22:20:17","22:20:39",
Bot75,"5o2",easy,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:20:44","22:22:29",
Bot76,"HereticJ",normal,6,Failed,"Rough Tarkov","Zone Sandbox_mine_quest","1","22:20:17","22:32:39",
Bot77,"Victor_Two",normal,10,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","22:20:17","N/A",
Bot80,"Borkel",hard,8,Pending,"Luxurious Life","Item Bottle of Le Jean wine","1","22:20:17","N/A",
Bot81,"VolcanoKevin",hard,5,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:20:17","22:29:20",
Bot79,"KittehKun",hard,7,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","22:20:18","N/A",
Bot83,"Bingus",normal,13,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:22:30","22:25:16",
Bot89,"Мишган Пекарь",impossible,1,Failed,"Nakatani Tower","Nakatani Tower: Objective #1","1","22:28:48","22:36:15",
Bot90,"Офицерский Грузин",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","22:29:28","N/A",
Bot94,"Ашот Шапито",easy,1,Failed,"Underground North","Underground North: Objective #1","1","22:30:58","22:31:14",
Bot95,"Веня Чеснок",normal,1,Active,"Underground North","Underground North: Objective #1","1","22:31:18","N/A",
Bot96,"Даня Сикель",normal,1,Active,"Capital Insight","Capital Insight: Objective #2","1","22:32:48","N/A",
Bot99,"Авксентий Годзилыч",easy,1,Active,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","22:36:19","N/A",
[Not Spawned],"Костыль Фарцовщик",normal,1,,,,,,,
[Not Spawned],"Донатий Маргарин",easy,1,,,,,,,
[Not Spawned],"Жора Бетон",normal,1,,,,,,,
[Not Spawned],"Никита Японец",easy,1,,,,,,,
[Not Spawned],"Давид Плоскостопие",easy,1,,,,,,,
[Not Spawned],"Созон Лютый",normal,1,,,,,,,
[Not Spawned],"Иржан Михалыч",normal,1,,,,,,,
[Not Spawned],"Лаг Морфлот",normal,1,,,,,,,
[Not Spawned],"Пул Мутный",normal,1,,,,,,,
