Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot214,"SKINNY BEPIS GAMING",easy,13,Active,"Golden Swag","Item Golden Zibbo lighter","1","20:53:34","N/A",
Bot217,"MrSarkasm",hard,12,Failed,"Passion for Ergonomics","Item Box with upgraded tools","1","20:53:35","20:59:28",
Bot217,"MrSarkasm",hard,12,Failed,"BP Depot","Zone fuel4","1","20:59:34","21:01:03",
Bot217,"MrSarkasm",hard,12,Completed,"BP Depot","Zone fuel2","1","21:01:33","21:13:32",
Bot217,"MrSarkasm",hard,12,Active,"Industrial Plant Silos Counter-Sniping","Industrial Plant Silos Counter-Sniping: Objective #1","1","21:14:02","N/A",
Bot215,"skitles55",normal,11,Completed,"Giving Tree","Giving Tree: Objective #1","1","20:53:35","20:53:39",
Bot215,"skitles55",normal,11,Failed,"BP Depot","Zone fuel3","1","20:53:44","20:59:25",
Bot218,"Jester_Stacks",normal,19,Active,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","20:53:35","N/A",
Bot220,"Ngst",normal,3,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","20:53:35","21:13:23",
Bot221,"wara",hard,14,Pending,"Passion for Ergonomics","Item Box with upgraded tools","1","20:53:36","N/A",
Bot222,"Gatsu66",hard,12,Failed,"Passion for Ergonomics","Item Box with upgraded tools","1","20:53:36","20:53:40",
Bot233,"defonotmaple",impossible,5,Active,"Rite of Passage","Zone Killnewoil","1","20:59:28","N/A",
Bot234,"Harmer",impossible,15,Pending,"Tigr Safari","Zone place_peacemaker_002_N2","1","20:59:29","N/A",
Bot240,"Hobbes",normal,17,Completed,"Fortress","Fortress: Objective #5","1","21:13:29","21:14:22",
Bot240,"Hobbes",normal,17,Completed,"Fortress","Fortress: Objective #7","1","21:14:27","21:15:08",
Bot240,"Hobbes",normal,17,Completed,"Fortress","Fortress: Objective #4","1","21:15:13","21:15:45",
Bot240,"Hobbes",normal,17,Completed,"Fortress","Fortress: Objective #8","3","21:15:50","21:17:25",
Bot240,"Hobbes",normal,17,Completed,"Fortress","Fortress: Objective #1","1","21:17:30","21:17:59",
Bot240,"Hobbes",normal,17,Completed,"Fortress","Fortress: Objective #2","1","21:18:04","21:18:24",
Bot240,"Hobbes",normal,17,Active,"Fortress","Fortress: Objective #3","1","21:18:29","N/A",
[Not Spawned],"Станислав Арбидол",normal,1,,,,,,,
[Not Spawned],"Лев Госдеп",normal,1,,,,,,,
[Not Spawned],"Пул Цинк",normal,1,,,,,,,
[Not Spawned],"Леха Саймон",normal,1,,,,,,,
[Not Spawned],"Влад Шиза",easy,1,,,,,,,
[Not Spawned],"Филя Гузло",easy,1,,,,,,,
[Not Spawned],"Тихон Снайлер",easy,1,,,,,,,
[Not Spawned],"Дамирка Фетченый",easy,1,,,,,,,
[Not Spawned],"Протасий Жидкий",easy,1,,,,,,,
[Not Spawned],"Фаддей Лапа",easy,1,,,,,,,
[Not Spawned],"Шингис Деревня",normal,1,,,,,,,
[Not Spawned],"Лаша Читер",normal,1,,,,,,,
[Not Spawned],"Терентий Комитный",easy,1,,,,,,,
[Not Spawned],"Прохор Шницель",normal,1,,,,,,,
[Not Spawned],"Марк Клим",easy,1,,,,,,,
[Not Spawned],"Федя Бстр",easy,1,,,,,,,
[Not Spawned],"Феоктист Бигмак",easy,1,,,,,,,
[Not Spawned],"Джонни Продавец",easy,1,,,,,,,
