Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot12,"Waffle",easy,19,Completed,"Containment Block Security Office","Containment Block Security Office: Objective #1","1","20:23:03","20:23:25",
Bot12,"Waffle",easy,19,Completed,"Negotiation Room","Negotiation Room: Objective #1","1","20:23:30","20:29:29",
Bot12,"Waffle",easy,19,Completed,"Negotiation Room","Negotiation Room: Objective #2","1","20:29:34","20:29:47",
Bot12,"Waffle",easy,19,Completed,"Offices Outside","Offices Outside: Objective #1","1","20:29:52","20:30:17",
Bot12,"Waffle",easy,19,Failed,"Offices Outside","Offices Outside: Objective #2","1","20:30:22","20:32:48",
Bot15,"ODT",easy,11,Failed,"Conference Room","Conference Room: Objective #3","1","20:23:03","20:23:50",
Bot14,"IcyClawz",normal,17,Failed,"Admin Office","Admin Office: Objective #3","1","20:23:03","20:25:53",
Bot13,"AGX",easy,22,Failed,"Green Room","Green Room: Objective #2","1","20:23:03","20:27:32",
Bot16,"nooky",normal,10,Failed,"Medical Block Elevator Power Switch","Medical Block Elevator Power Switch: Objective #1","1","20:23:03","20:24:11",
Bot17,"matt",easy,16,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","20:23:04","20:27:16",
Bot18,"JP21",easy,8,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","20:23:04","20:23:13",
Bot19,"archon0ne",normal,8,Failed,"Conference Room","Conference Room: Objective #4","1","20:23:04","20:24:13",
Bot27,"Пул Заводской",easy,1,Completed,"Security Office","Security Office: Objective #1","1","20:37:08","20:38:10",
Bot27,"Пул Заводской",easy,1,Pending,"Admin Office","Admin Office: Objective #1","1","20:38:15","N/A",
[Not Spawned],"Сеня Запасной",normal,1,,,,,,,
[Not Spawned],"Анфим Фонарь",easy,1,,,,,,,
[Not Spawned],"Гарри Пипетка",normal,1,,,,,,,
[Not Spawned],"Таир Торпеда",easy,1,,,,,,,
[Not Spawned],"Рауль Пекуш",normal,1,,,,,,,
[Not Spawned],"Лаша Якубович",normal,1,,,,,,,
[Not Spawned],"Фима Сутенер",easy,1,,,,,,,
[Not Spawned],"Джек Сало",normal,1,,,,,,,
[Not Spawned],"Митяй Мальчик",normal,1,,,,,,,
[Not Spawned],"Матвей Шашлыки",normal,1,,,,,,,
[Not Spawned],"Александр Меченый",normal,1,,,,,,,
[Not Spawned],"Ивасик Дерзкий",normal,1,,,,,,,
[Not Spawned],"Боря Бетон",hard,1,,,,,,,
[Not Spawned],"Паштет Гусар",normal,1,,,,,,,
