Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot107,"kwebber321",easy,19,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","20:21:17","20:21:22",
Bot107,"kwebber321",easy,19,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","20:21:27","20:22:10",
Bot107,"kwebber321",easy,19,Active,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","20:22:16","N/A",
Bot108,"CharlieMike_EFT",easy,14,Active,"Classified Technologies","Item T-90M Commander Control Panel","1","20:21:17","N/A",
Bot110,"witek",normal,14,Pending,"South Hill Sniping","South Hill Sniping: Objective #1","1","20:21:18","N/A",
Bot110,"witek",normal,14,Pending,"South Hill Sniping","South Hill Sniping: Objective #2","1","20:21:18","N/A",
Bot110,"witek",normal,14,Active,"South Hill Sniping","South Hill Sniping: Objective #3","1","20:21:18","N/A",
Bot111,"hacker228",easy,18,Failed,"No Place for Renegades","Zone prapor_hq_area_check_1","1","20:21:18","20:23:20",
Bot112,"Brin",normal,2,Pending,"White Rook Barracks","White Rook Barracks: Objective #3","1","20:21:18","N/A",
Bot113,"Swankyorc",normal,14,Failed,"Revision - Reserve","Zone tadeush_stryker_area_check_3","1","20:21:18","20:21:24",
Bot116,"Netnikogo",normal,19,Active,"A Fuel Matter","Zone baraholshik_fuel_area_3","1","20:21:30","N/A",
Bot117,"CWX",normal,17,Pending,"A Fuel Matter","Zone baraholshik_fuel_area_3","1","20:21:30","N/A",
Bot119,"hughz001",hard,18,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","20:23:23","N/A",
[Not Spawned],"Влад Резаный",hard,1,,,,,,,
[Not Spawned],"Никитка Тайчин",hard,1,,,,,,,
[Not Spawned],"Прокопий Спартак",normal,1,,,,,,,
[Not Spawned],"Генка Торч",normal,1,,,,,,,
[Not Spawned],"Витя Тольятти",normal,1,,,,,,,
[Not Spawned],"Рома Шаман",easy,1,,,,,,,
[Not Spawned],"Олежа Сопля",easy,1,,,,,,,
[Not Spawned],"Созон Зайка",easy,1,,,,,,,
[Not Spawned],"Анфим Полседьмого",easy,1,,,,,,,
[Not Spawned],"Саша Метанол",easy,1,,,,,,,
[Not Spawned],"Андрей Американец",impossible,1,,,,,,,
[Not Spawned],"Киса Подствол",normal,1,,,,,,,
[Not Spawned],"Сема Фарцовщик",normal,1,,,,,,,
[Not Spawned],"Кэл Кремень",normal,1,,,,,,,
[Not Spawned],"Киса Ферзь",normal,1,,,,,,,
[Not Spawned],"Донатий Воробей",easy,1,,,,,,,
