Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"Berryok",normal,16,Completed,"Boss Hunter (pmcBot)","Spawn Point (216.72 -6.87 -176.89)","1","23:44:53","23:46:35",
Bot21,"Berryok",normal,16,Completed,"Boss Hunter (pmcBot)","Spawn Point (225.13 -6.85 -122.95)","1","23:46:40","23:48:08",
Bot21,"Berryok",normal,16,Active,"Boss Hunter (pmcBot)","Spawn Point (217.32 -6.91 -172.02)","1","23:48:13","N/A",
Bot22,"白闲者",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","23:44:54","23:45:44",
Bot22,"白闲者",normal,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","23:45:49","23:52:02",
Bot24,"Maklane",normal,2,Failed,"White Rook","White Rook: Objective #4","1","23:44:54","23:45:01",
Bot31,"Cogy",normal,18,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","23:45:05","23:47:32",
Bot32,"Mock Shelter",normal,21,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","23:45:06","23:45:40",
Bot33,"bakahashi",normal,2,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","23:45:34","23:50:31",
Bot34,"Kiki",normal,18,Failed,"Dome Buildings","Dome Buildings: Objective #1","1","23:45:35","23:46:58",
Bot35,"snapple",normal,16,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","23:45:38","23:45:53",
Bot36,"Carl",normal,12,Failed,"Hermetic","Hermetic: Objective #2","1","23:45:54","23:54:44",
Bot48,"Христофор Касперидзе",normal,1,Completed,"Scav Lands South Building","Scav Lands South Building: Objective #2","1","23:52:57","23:53:00",
Bot48,"Христофор Касперидзе",normal,1,Failed,"Scav Lands South Building","Scav Lands South Building: Objective #1","1","23:53:05","23:55:54",
Bot48,"Христофор Касперидзе",normal,1,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","23:56:00","23:57:09",
Bot48,"Христофор Касперидзе",normal,1,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #4","1","23:57:14","23:58:14",
Bot48,"Христофор Касперидзе",normal,1,Active,"Black Bishop Underground","Black Bishop Underground: Objective #3","1","23:58:19","N/A",
Bot47,"Петро Батон",normal,1,Failed,"Black Pawn","Black Pawn: Objective #5","1","23:52:57","23:55:49",
Bot49,"Егор Бомж",normal,1,Pending,"Scav Lands South Building","Scav Lands South Building: Objective #1","1","23:52:58","N/A",
[Not Spawned],"Лёва Русь",easy,1,,,,,,,
[Not Spawned],"Максим Шаляпин",easy,1,,,,,,,
[Not Spawned],"Алекс Голубок",easy,1,,,,,,,
[Not Spawned],"Тихон Король",easy,1,,,,,,,
[Not Spawned],"Батыр Кастрюля",easy,1,,,,,,,
[Not Spawned],"Спиридон Дряхлый",easy,1,,,,,,,
[Not Spawned],"Юрий Фотошоп",normal,1,,,,,,,
[Not Spawned],"Боря Всемогущий",hard,1,,,,,,,
[Not Spawned],"Коля Американец",easy,1,,,,,,,
[Not Spawned],"Стёпа Глиттершайн",normal,1,,,,,,,
[Not Spawned],"Прохор Бубл",normal,1,,,,,,,
[Not Spawned],"Антон Дробь",normal,1,,,,,,,
[Not Spawned],"Марат Крыса",normal,1,,,,,,,
