Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"MemeG",normal,6,Failed,"Don’t Believe Your Eyes","Zone Halloween_lab_section1","1","20:16:53","20:17:58",
Bot4,"Grasyl",easy,19,Active,"Black Room","Black Room: Objective #3","1","20:16:53","N/A",
Bot1,"Carl",normal,21,Active,"Boss Hunter (pmcBot)","Spawn Point (-183.65 2.71 -227.12)","1","20:16:53","N/A",
Bot3,"HiddenCirno",normal,17,Failed,"Security Office","Security Office: Objective #2","1","20:16:53","20:19:54",
Bot5,"Life",normal,19,Failed,"Cafeteria","Cafeteria: Objective #2","1","20:16:53","20:17:46",
Bot6,"jiblet",normal,18,Failed,"Black Room","Black Room: Objective #1","1","20:16:54","20:17:14",
Bot7,"7 TO 14 FERAL HOGS",normal,22,Failed,"Violet Room","Violet Room: Objective #1","1","20:16:54","20:18:21",
Bot8,"RedBeard",normal,13,Failed,"Containment Block Power Switch Camping","Containment Block Power Switch Camping: Objective #1","1","20:16:54","20:17:05",
[Not Spawned],"Колька Шиза",normal,1,,,,,,,
[Not Spawned],"Андрюха Бубэльбуш",normal,1,,,,,,,
[Not Spawned],"Батыр Фонарь",normal,1,,,,,,,
[Not Spawned],"Кондратий Ненаркоторговец",normal,1,,,,,,,
[Not Spawned],"Ваня Морган",normal,1,,,,,,,
[Not Spawned],"Алик Менеджер",normal,1,,,,,,,
[Not Spawned],"Иржан Молоко",normal,1,,,,,,,
[Not Spawned],"Созон Кожемяка",hard,1,,,,,,,
[Not Spawned],"Гога Князь",hard,1,,,,,,,
[Not Spawned],"Прокопий Городской",easy,1,,,,,,,
[Not Spawned],"Богдан Денди",easy,1,,,,,,,
[Not Spawned],"Андрюха Повидло",normal,1,,,,,,,
[Not Spawned],"Пафнутий Суслик",normal,1,,,,,,,
[Not Spawned],"Данила Глазастый",easy,1,,,,,,,
[Not Spawned],"Ваня Родненький",easy,1,,,,,,,
