Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot28,"52sierra",normal,20,Failed,"Red Room","Red Room: Objective #1","1","20:45:14","20:46:49",
Bot31,"Nightingale",normal,22,Failed,"Main Working Area West","Main Working Area West: Objective #5","1","20:45:15","20:46:11",
Bot29,"HANAVI",hard,22,Failed,"Boss Hunter (pmcBot)","Spawn Point (-157.57 2.71 -222.76)","1","20:45:15","20:47:25",
Bot30,"Lua",normal,22,Active,"Blue Room","Blue Room: Objective #2","1","20:45:15","N/A",
Bot32,"wooxs",normal,11,Failed,"Radical Treatment","Zone Halloween_zone_for_antivirus(lab)","1","20:45:16","20:47:10",
Bot34,"KokaZ93",normal,11,Failed,"Main Working Area East","Main Working Area East: Objective #1","1","20:45:16","20:46:01",
Bot33,"Rena-chan",hard,20,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","20:45:16","20:45:30",
[Not Spawned],"Пул Сметана",normal,1,,,,,,,
[Not Spawned],"Пул Сырный",normal,1,,,,,,,
[Not Spawned],"Сёма Морган",hard,1,,,,,,,
[Not Spawned],"Саня Крезибамп",hard,1,,,,,,,
[Not Spawned],"Иржан Херпроссы",hard,1,,,,,,,
[Not Spawned],"Митяй Кожемяка",easy,1,,,,,,,
[Not Spawned],"Дед Байзальбоп",easy,1,,,,,,,
[Not Spawned],"Данила Влажный",easy,1,,,,,,,
[Not Spawned],"Фима Маргарин",easy,1,,,,,,,
[Not Spawned],"Паша Могила",normal,1,,,,,,,
[Not Spawned],"Вантуз Монгол",normal,1,,,,,,,
[Not Spawned],"Заур Дирол",easy,1,,,,,,,
[Not Spawned],"Юлиан Инвестор",easy,1,,,,,,,
[Not Spawned],"Найк Репа",easy,1,,,,,,,
[Not Spawned],"Арсен Дракон",normal,1,,,,,,,
