Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"Sheepy",hard,14,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","22:00:48","N/A",
Bot14,"All_Heil_Lord_Pepe",normal,18,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:00:48","N/A",
Bot13,"Waffle",normal,14,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:00:48","N/A",
Bot16,"kwebber321",normal,16,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:00:48","22:01:57",
Bot12,"Reis",normal,16,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","22:00:48","N/A",
Bot17,"SovietWalrus",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:00:48","22:01:50",
Bot18,"Arys",normal,17,Failed,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #2","1","22:00:48","22:01:57",
Bot19,"Cooler daniel",normal,7,Active,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:01:50","N/A",
[Not Spawned],"Олежа Сопля",normal,1,,,,,,,
[Not Spawned],"Леха Дерзкий",normal,1,,,,,,,
[Not Spawned],"Филя Лапа",normal,1,,,,,,,
[Not Spawned],"Альвиан Штопор",normal,1,,,,,,,
[Not Spawned],"Мишган Насос",easy,1,,,,,,,
[Not Spawned],"Севастьян Самарский",easy,1,,,,,,,
[Not Spawned],"Фаддей Билетик",easy,1,,,,,,,
[Not Spawned],"Лёха Пульпит",normal,1,,,,,,,
[Not Spawned],"Санька Спортсмен",hard,1,,,,,,,
[Not Spawned],"Игорь Костоправ",hard,1,,,,,,,
[Not Spawned],"Дамирка Локализатор",hard,1,,,,,,,
[Not Spawned],"Сава Родненький",hard,1,,,,,,,
[Not Spawned],"Сильвестр Небоскрёб",impossible,1,,,,,,,
[Not Spawned],"Коля Запасной",normal,1,,,,,,,
[Not Spawned],"Сява НКВД",normal,1,,,,,,,
